,SSC_CODE_2016,Census_Name_2016,pop_percentage
98,SSC10099,Ashford (NSW),"1|United_Kingdom|19.51,2|Germany|17.07,3|Poland|12.2,4|New_Zealand|9.76,5|Italy|9.76,0|other_countries|31.71"
99,SSC10100,Ashley,"1|New_Zealand|27.78,2|Ireland|22.22,3|Fiji|0.0,4|Poland|0.0,5|Singapore|0.0,0|other_countries|16.67"
100,SSC10101,Ashmont,"1|United_Kingdom|19.63,2|New_Zealand|12.79,3|Philippines|8.68,4|Netherlands|4.57,5|Zimbabwe|4.11,0|other_countries|48.4"
101,SSC10102,Ashtonfield,"1|United_Kingdom|20.84,2|New_Zealand|12.02,3|India|11.02,4|China_exc_SARs_Taiwan|6.21,5|Pakistan|5.01,0|other_countries|43.09"
102,SSC10103,Asquith,"1|United_Kingdom|14.4,2|China_exc_SARs_Taiwan|14.04,3|India|10.84,4|Philippines|6.67,5|New_Zealand|6.13,0|other_countries|46.84"
103,SSC10104,Atholwood,"1|South_Africa|30.77,2|United_Kingdom|23.08,3|Iran|0.0,4|Egypt|0.0,5|Poland|0.0,0|other_countries|23.08"
104,SSC10105,Attunga,"1|United_Kingdom|50.0,2|Germany|21.43,3|Fiji|0.0,4|Poland|0.0,5|Singapore|0.0,0|other_countries|0.0"
105,SSC10106,Auburn (NSW),"1|China_exc_SARs_Taiwan|19.6,2|Pakistan|8.59,3|India|7.7,4|Turkey|7.0,5|Lebanon|5.08,0|other_countries|51.95"
106,SSC10107,Auburn Vale,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
107,SSC10108,Austinmer,"1|United_Kingdom|45.0,2|New_Zealand|11.05,3|South_Africa|5.26,4|Germany|4.47,5|Ireland|3.95,0|other_countries|25.26"
108,SSC10109,Austral,"1|Italy|37.1,2|Malta|8.76,3|Lebanon|7.91,4|China_exc_SARs_Taiwan|5.6,5|Croatia|4.87,0|other_countries|36.01"
109,SSC10110,Austral Eden,"1|Canada|30.0,2|New_Zealand|0.0,3|Philippines|0.0,4|Poland|0.0,5|Singapore|0.0,0|other_countries|0.0"
110,SSC10111,Avalon Beach,"1|United_Kingdom|48.52,2|New_Zealand|8.78,3|South_Africa|3.77,4|Germany|3.27,5|Netherlands|2.23,0|other_countries|27.83"
111,SSC10112,Avisford,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
112,SSC10113,Avoca (NSW),"1|United_Kingdom|84.62,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
113,SSC10114,Avoca Beach,"1|United_Kingdom|54.09,2|New_Zealand|8.29,3|South_Africa|5.96,4|Ireland|5.02,5|Canada|3.62,0|other_countries|20.68"
114,SSC10115,Avon (NSW),"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
115,SSC10116,Avondale (NSW),"1|United_Kingdom|50.38,2|New_Zealand|6.11,3|Italy|4.96,4|Philippines|4.2,5|FYROM|3.82,0|other_countries|27.86"
116,SSC10117,Avonside,"1|United_Kingdom|61.11,2|South_Africa|16.67,3|India|0.0,4|Indonesia|0.0,5|Hong_Kong_SAR_China|0.0,0|other_countries|16.67"
117,SSC10118,Awaba,"1|United_Kingdom|36.67,2|New_Zealand|16.67,3|Thailand|13.33,4|Germany|13.33,5|Iran|0.0,0|other_countries|0.0"
118,SSC10119,Aylmerton,"1|United_Kingdom|28.57,2|Italy|10.71,3|Germany|10.71,4|Singapore|0.0,5|Canada|0.0,0|other_countries|21.43"
119,SSC10120,Baan Baa,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
120,SSC10121,Babinda (NSW),"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
121,SSC10122,Babyl Creek,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
122,SSC10123,Back Creek (Bland - NSW),"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
123,SSC10124,Back Creek (Gwydir - NSW),"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
124,SSC10125,Back Creek (Mid-Coast - NSW),"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
